角色ID	角色名称	职业1	职业2	阵容1	阵容2	上线时间	标签
4701	阿瑞斯	战士		幻境	奥术	2025-03-20 05:00:00	蓄意轰拳，暴力输出
4702	雷神	战士		元素	圣堂	2026-02-26 05:00:00	分享属性，纵横战场
4703	大力神	战士		旷野	奥术	2026-04-16 05:00:00	千钧之力，百炼重生
5001	王国弩手	射手					持续攻击一个目标增加自身攻速
5401	蛮地猎手	射手		旷野	幻境		燃烧生命，沸血之矛
5402	独眼巨人	射手		旷野	幻境		扔出巨石，砸碎敌人
5501	光耀元素	射手		圣堂	元素		高频伤害，施加感电
5502	猎魔人	射手		奥术	幻境		强化弩箭，追猎敌人
5503	蛇发女妖	射手		幻境	彼岸		叠加蛇毒，石化敌人
5601	伊芙利特	射手		奥术	元素		群体轰炸，持续狂热
5602	双生鸦灵	射手		旷野	幻境		伤痕标记，群体弹射
5603	霜星猎手	射手		元素	幻境	2025-06-12 05:00:00	远程锁定，定点输出
5604	万蛇之母	射手		幻境	彼岸	2025-03-31 05:00:00	叠加蛇毒，石化敌人
5605	腐败花蕾	射手		幻境	彼岸	2025-10-09 05:00:00	无视护盾，荆棘禁锢
5606	智慧巨人	射手		圣堂	奥术	2025-11-20 05:00:00	
5607	绯刃剑魂	射手		旷野	彼岸	2025-07-17 05:00:00	高额爆伤，范围禁强
5608	破魔巫女	射手		奥术	旷野	2026-05-07 05:00:00	神谕缚敌，破魔之箭
5701	太阳神	射手		彼岸	圣堂	2025-05-29 05:00:00	印记叠伤，万箭齐发
5702	月亮女神	射手		奥术	幻境	2025-10-30 05:00:00	叠加月魄，群体强化
6301	矮人祭司	法师		奥术	幻境		冰霜法术，减速敌人
6302	法老王	法师					吸取生命，诅咒敌人
6401	捣乱使魔	法师		旷野	奥术		火焰戏法，灼烧敌人
6402	彷徨幽魂	法师		旷野	奥术		操纵冤魂，开场沉默
6502	烈焰魔女	法师		元素	圣堂		召唤炎龙，横扫战场
6503	埃及艳后	法师		彼岸	奥术		召唤大军，席卷战场
6504	暗影元素	法师		元素	幻境		虚空能量，瓦解敌人
6505	四季鹿灵	法师		旷野	奥术	2025-05-20 05:00:00	天光怒莲，狂野回息
6601	大天使	法师		圣堂	彼岸	2025-02-13 05:00:00	超强续航，持续增益
6602	半神巫妖	法师		彼岸	元素		召唤大军，席卷战场
6603	浮士德	法师		彼岸	幻境	2025-04-10 05:00:00	召唤伙伴，协助作战
6604	青铜神姬	法师		奥术	旷野	2025-07-31 05:00:00	机械大军，辅助作战
6605	黑猫女神	法师		彼岸	奥术		召唤大军，席卷战场
6606	克拉苏	法师		幻境	奥术	2025-12-04 05:00:00	天降陨石，驱散增益
6607	朱雀	法师		元素	幻境	2025-10-23 05:00:00	范围灼烧，涅槃重生
6608	绝代妖狐	法师		旷野	圣堂	2026-04-09 05:00:00	狐火叠缚，弹雨狂袭
6609	北境女王	法师		元素	奥术	2026-03-12 05:00:00	冰渊魔压，寒潮不息
6701	波塞冬	法师		元素	幻境		超大范围，全场寒冷
6702	诡计之神	法师		彼岸	旷野	2025-09-18 05:00:00	封印技能，灵活奥义
6703	众神之王	法师		圣堂	元素	2026-05-28 05:00:00	天雷降临，群体弱化
